Date;Time;Value;Unit
2019-12-27 ; 13:46:47 ; 22 ; °C
2019-12-27 ; 13:46:48 ; 22 ; °C
2019-12-27 ; 13:46:49 ; 22 ; °C
2019-12-27 ; 13:46:50 ; 22 ; °C
2019-12-27 ; 13:46:51 ; 22 ; °C
2019-12-27 ; 13:46:52 ; 22 ; °C
2019-12-27 ; 13:46:53 ; 23 ; °C
2019-12-27 ; 13:46:53 ; 27 ; °C
2019-12-27 ; 13:46:54 ; 31 ; °C
2019-12-27 ; 13:46:55 ; 32 ; °C
2019-12-27 ; 13:46:56 ; 32 ; °C
2019-12-27 ; 13:46:57 ; 33 ; °C
2019-12-27 ; 13:46:58 ; 33 ; °C
2019-12-27 ; 13:46:59 ; 33 ; °C
2019-12-27 ; 13:47:00 ; 33 ; °C
2019-12-27 ; 13:47:01 ; 34 ; °C
2019-12-27 ; 13:47:02 ; 34 ; °C
2019-12-27 ; 13:47:02 ; 34 ; °C
2019-12-27 ; 13:47:03 ; 32 ; °C
2019-12-27 ; 13:47:04 ; 31 ; °C
2019-12-27 ; 13:47:05 ; 30 ; °C
2019-12-27 ; 13:47:06 ; 30 ; °C
2019-12-27 ; 13:47:07 ; 29 ; °C
2019-12-27 ; 13:47:08 ; 29 ; °C
2019-12-27 ; 13:47:09 ; 29 ; °C
2019-12-27 ; 13:47:10 ; 28 ; °C
2019-12-27 ; 13:47:11 ; 28 ; °C
2019-12-27 ; 13:47:11 ; 28 ; °C
2019-12-27 ; 13:47:12 ; 28 ; °C
2019-12-27 ; 13:47:13 ; 28 ; °C
2019-12-27 ; 13:47:14 ; 28 ; °C
2019-12-27 ; 13:47:15 ; 28 ; °C
2019-12-27 ; 13:47:16 ; 28 ; °C
2019-12-27 ; 13:47:17 ; 27 ; °C
2019-12-27 ; 13:47:18 ; 27 ; °C
2019-12-27 ; 13:47:19 ; 27 ; °C
